UniqueCount	AmbigCount
0	0
0	0
44	167
21	123
143	86
0	0
174	0
113	0
23	0
0	0
41	0
0	0
128	1
133	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	19
1	116
60	179
1	18
0	109
127	87
0	126
0	46
30	0
5	0
0	0
0	0
5	78
52	91
0	79
0	33
0	25
0	47
0	51
82	16
0	63
0	0
63	296
20	290
0	6
1	0
7	26
0	24
1	20
0	4
0	15
2	2
0	0
0	0
7	0
2	0
0	0
0	181
10	331
7	89
133	215
49	40
0	22
32	308
98	142
0	0
0	0
0	0
0	0
2	3
0	0
5	0
7	14
0	10
0	14
2	11
0	0
0	0
0	0
5	0
0	0
2	0
238	58
0	50
0	36
0	1
0	14
0	53
46	1220
48	44
2	6
0	513
0	1055
151	155
3	444
21	23
7	102
13	4
9	27
3	108
118	3
0	119
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
13	24
1	1459
0	1457
29	1497
4	35
4	78
12	1319
36	1191
9	192
0	1459
2	115
0	104
0	174
0	95
0	0
0	0
0	2
0	0
0	0
0	0
0	0
2	0
264	530
2	92
0	7
0	338
0	162
20	39
36	484
5	455
0	0
0	0
269	0
0	0
5	7
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	4
0	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
15	4
0	4
0	0
0	2
1	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	115
0	132
0	161
10	170
0	10
0	1
0	31
10	124
19	134
22	1
0	3
5	0
0	4
0	0
20	0
0	0
0	0
0	1
