UniqueCount	AmbigCount
0	0
0	0
73	295
37	207
380	174
0	0
148	0
122	0
40	0
0	0
48	0
0	0
107	0
188	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	4
0	4
0	4
0	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	2
0	1
0	1
6	3
0	2
0	0
0	0
0	0
0	23
1	134
41	204
0	17
0	125
121	48
2	130
0	49
27	1
5	0
0	0
1	0
2	84
64	100
0	84
0	40
0	31
0	63
0	50
108	12
0	64
4	0
101	430
22	414
0	19
2	0
5	30
1	27
0	14
0	6
0	11
4	3
0	0
0	0
7	0
0	0
2	0
0	368
23	609
15	135
133	367
74	75
0	48
68	574
134	235
0	0
0	0
0	0
0	0
0	3
0	0
3	0
12	6
0	2
0	6
3	6
0	0
0	0
0	0
6	0
0	0
0	1
268	91
0	77
0	60
0	0
0	27
0	71
58	1191
62	93
2	9
0	477
0	933
183	152
0	393
20	22
10	94
9	3
9	33
0	97
100	11
0	151
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
27	11
97	1884
57	1876
2	1572
0	31
1	63
0	1257
0	1128
3	201
0	1555
5	104
0	86
0	133
0	117
0	0
0	0
0	24
0	0
0	0
0	0
0	0
9	0
562	1024
5	120
0	19
0	708
0	324
49	86
143	1023
11	989
0	0
0	0
800	0
0	0
1	30
0	0
0	0
0	0
0	2
0	2
0	0
0	3
0	2
0	3
0	2
0	2
0	0
1	8
0	8
0	2
0	2
0	2
0	2
0	2
0	3
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	2
0	2
0	3
0	3
0	2
0	2
0	0
21	5
0	4
0	2
0	3
0	2
0	0
0	2
0	0
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	198
0	259
0	296
9	284
0	37
0	6
0	79
16	190
18	209
21	1
0	6
9	0
0	0
0	0
27	0
0	0
1	0
